pid,date,segment,avgdurationunlock,avgdurationunlock_locmap_home,countepisodeunlock,countepisodeunlock_locmap_home,maxdurationunlock,maxdurationunlock_locmap_home,sumdurationunlock,sumdurationunlock_locmap_home,datetime
INS-W_1036,2021-03-29,afternoon,2.20935375,,40.0,,20.20575,,88.37415,,2021-03-29 11:59:59
INS-W_1036,2021-03-29,evening,1.1767626984127,1.31291726190476,42.0,28.0,6.01661666666667,6.01661666666667,49.4240333333333,36.7616833333333,2021-03-29 17:59:59
INS-W_1036,2021-03-29,morning,2.72898333333333,,22.0,,33.0743666666667,,60.0376333333333,,2021-03-29 05:59:59
INS-W_1036,2021-03-29,night,3.09895625,,8.0,,16.9111166666667,,24.79165,,2021-03-29 23:59:59
INS-W_1036,2021-03-30,afternoon,2.40574666666667,2.40574666666667,55.0,55.0,31.5124666666667,31.5124666666667,132.316066666667,132.316066666667,2021-03-30 11:59:59
INS-W_1036,2021-03-30,evening,3.23200333333333,3.33663908045977,30.0,29.0,24.8104666666667,24.8104666666667,96.9601,96.7625333333333,2021-03-30 17:59:59
INS-W_1036,2021-03-30,morning,4.92374,5.24231818181818,15.0,11.0,24.7041,24.7041,73.8561,57.6655,2021-03-30 05:59:59
INS-W_1036,2021-03-30,night,7.47751666666666,7.47751666666666,7.0,7.0,36.67375,36.67375,52.3426166666667,52.3426166666667,2021-03-30 23:59:59
INS-W_1036,2021-03-31,afternoon,2.60384189189189,2.98910885416667,37.0,32.0,25.1559333333333,25.1559333333333,96.34215,95.6514833333333,2021-03-31 11:59:59
INS-W_1036,2021-03-31,evening,0.927665128205128,1.14610231481481,65.0,36.0,7.55695,7.55695,60.2982333333333,41.2596833333333,2021-03-31 17:59:59
INS-W_1036,2021-03-31,morning,1.67630347222222,1.67630347222222,24.0,24.0,7.92193333333333,7.92193333333333,40.2312833333333,40.2312833333333,2021-03-31 05:59:59
INS-W_1036,2021-03-31,night,12.1087194444444,12.1087194444444,6.0,6.0,43.1831,43.1831,72.6523166666666,72.6523166666666,2021-03-31 23:59:59
INS-W_1036,2021-04-01,afternoon,1.96826635802469,2.02999583333333,54.0,52.0,13.2332333333333,13.2332333333333,106.286383333333,105.559783333333,2021-04-01 11:59:59
INS-W_1036,2021-04-01,evening,7.91443888888889,7.91443888888889,27.0,27.0,56.1751333333333,56.1751333333333,213.68985,213.68985,2021-04-01 17:59:59
INS-W_1036,2021-04-01,morning,21.139375,21.139375,2.0,2.0,24.1632666666667,24.1632666666667,42.27875,42.27875,2021-04-01 05:59:59
INS-W_1036,2021-04-01,night,3.01043787878788,14.27145,11.0,2.0,27.9708166666667,27.9708166666667,33.1148166666667,28.5429,2021-04-01 23:59:59
INS-W_1036,2021-04-02,afternoon,2.38383980099502,1.47611095238095,67.0,35.0,40.3535,19.1137166666667,159.717266666667,51.6638833333333,2021-04-02 11:59:59
INS-W_1036,2021-04-02,evening,3.08845416666667,,32.0,,19.8498666666667,,98.8305333333333,,2021-04-02 17:59:59
INS-W_1036,2021-04-02,morning,3.70166363636364,3.70166363636364,11.0,11.0,24.4842333333333,24.4842333333333,40.7183,40.7183,2021-04-02 05:59:59
INS-W_1036,2021-04-02,night,3.29548039215686,3.29548039215686,17.0,17.0,22.0654,22.0654,56.0231666666667,56.0231666666667,2021-04-02 23:59:59
INS-W_1036,2021-04-03,afternoon,1.12381468253968,,42.0,,7.07788333333333,,47.2002166666667,,2021-04-03 11:59:59
INS-W_1036,2021-04-03,evening,2.42806333333333,,25.0,,26.4594166666667,,60.7015833333333,,2021-04-03 17:59:59
INS-W_1036,2021-04-03,morning,3.45635952380952,,7.0,,15.1548,,24.1945166666667,,2021-04-03 05:59:59
INS-W_1036,2021-04-03,night,38.6403555555555,,3.0,,84.4389,,115.921066666667,,2021-04-03 23:59:59
INS-W_1036,2021-04-04,afternoon,2.92914114583333,1.22147777777778,32.0,3.0,33.3433833333333,2.99995,93.7325166666667,3.66443333333333,2021-04-04 11:59:59
INS-W_1036,2021-04-04,evening,2.33299182389937,2.59497816091954,53.0,29.0,37.59875,37.59875,123.648566666667,75.2543666666667,2021-04-04 17:59:59
INS-W_1036,2021-04-04,morning,1.38730175438597,1.48388333333333,19.0,1.0,6.38236666666667,1.48388333333333,26.3587333333333,1.48388333333333,2021-04-04 05:59:59
INS-W_1036,2021-04-04,night,6.44231,,5.0,,16.6299333333333,,32.21155,,2021-04-04 23:59:59
INS-W_1036,2021-04-05,afternoon,1.08351151515152,1.04787537878788,55.0,44.0,5.73458333333333,5.73458333333333,59.5931333333333,46.1065166666667,2021-04-05 11:59:59
INS-W_1036,2021-04-05,evening,2.31919411764706,2.78150061728395,34.0,27.0,28.4176833333333,28.4176833333333,78.8526,75.1005166666666,2021-04-05 17:59:59
INS-W_1036,2021-04-05,morning,3.39991825396825,3.39991825396825,21.0,21.0,22.7363166666667,22.7363166666667,71.3982833333333,71.3982833333333,2021-04-05 05:59:59
INS-W_1036,2021-04-05,night,1.06942166666667,1.06942166666667,10.0,10.0,5.86105,5.86105,10.6942166666667,10.6942166666667,2021-04-05 23:59:59
INS-W_1036,2021-04-06,afternoon,2.83755083333333,1.80493666666667,40.0,30.0,16.87485,12.9997833333333,113.502033333333,54.1481,2021-04-06 11:59:59
INS-W_1036,2021-04-06,evening,6.65373511904762,4.74298888888889,28.0,18.0,68.99885,58.33925,186.304583333333,85.3738,2021-04-06 17:59:59
INS-W_1036,2021-04-06,morning,0.8919,0.8919,6.0,6.0,1.68183333333333,1.68183333333333,5.3514,5.3514,2021-04-06 05:59:59
INS-W_1036,2021-04-06,night,3.96161975308642,8.99373333333333,27.0,8.0,44.0795,44.0795,106.963733333333,71.9498666666667,2021-04-06 23:59:59
INS-W_1036,2021-04-07,afternoon,5.52386866666667,5.74621944444444,25.0,24.0,41.2116333333333,41.2116333333333,138.096716666667,137.909266666667,2021-04-07 11:59:59
INS-W_1036,2021-04-07,evening,1.78406452991453,2.23068529411765,39.0,17.0,23.3722333333333,23.3722333333333,69.5785166666667,37.92165,2021-04-07 17:59:59
INS-W_1036,2021-04-07,morning,1.36542777777778,1.36542777777778,3.0,3.0,2.77991666666667,2.77991666666667,4.09628333333333,4.09628333333333,2021-04-07 05:59:59
INS-W_1036,2021-04-07,night,7.28216166666666,9.43713809523809,10.0,7.0,47.1342166666666,47.1342166666666,72.8216166666666,66.0599666666666,2021-04-07 23:59:59
INS-W_1036,2021-04-08,afternoon,2.18572442528736,1.02765833333333,58.0,10.0,16.0773666666667,2.99995,126.772016666667,10.2765833333333,2021-04-08 11:59:59
INS-W_1036,2021-04-08,evening,4.15099428571429,0.689252380952381,35.0,7.0,60.5216,1.99996666666667,145.2848,4.82476666666667,2021-04-08 17:59:59
INS-W_1036,2021-04-08,morning,0.382058333333333,,6.0,,0.972416666666667,,2.29235,,2021-04-08 05:59:59
INS-W_1036,2021-04-08,night,5.69352222222222,,12.0,,47.4154833333333,,68.3222666666666,,2021-04-08 23:59:59
INS-W_1036,2021-04-09,afternoon,3.36612424242424,1.089775,55.0,2.0,37.9721166666667,1.99996666666667,185.136833333333,2.17955,2021-04-09 11:59:59
INS-W_1036,2021-04-09,evening,1.67901367521367,0.161272222222222,39.0,3.0,35.5233166666667,0.423783333333333,65.4815333333333,0.483816666666667,2021-04-09 17:59:59
INS-W_1036,2021-04-09,morning,3.62775,1.99996666666667,4.0,1.0,10.3549166666667,1.99996666666667,14.511,1.99996666666667,2021-04-09 05:59:59
INS-W_1036,2021-04-09,night,3.36418817204301,2.71683333333333,31.0,2.0,32.49285,2.99995,104.289833333333,5.43366666666667,2021-04-09 23:59:59
INS-W_1036,2021-04-10,afternoon,2.41836956521739,2.52894404761905,46.0,42.0,30.9656166666667,30.9656166666667,111.245,106.21565,2021-04-10 11:59:59
INS-W_1036,2021-04-10,evening,1.1225625,1.95025666666667,40.0,5.0,4.33443333333333,3.99993333333333,44.9025,9.75128333333333,2021-04-10 17:59:59
INS-W_1036,2021-04-10,morning,2.1052234375,2.1052234375,32.0,32.0,11.0923,11.0923,67.36715,67.36715,2021-04-10 05:59:59
INS-W_1036,2021-04-10,night,3.68918518518518,17.4577233333333,27.0,5.0,66.5741166666666,66.5741166666666,99.608,87.2886166666666,2021-04-10 23:59:59
INS-W_1036,2021-04-11,afternoon,2.47539612403101,2.64755637254902,43.0,34.0,42.6717166666666,42.6717166666666,106.442033333333,90.0169166666666,2021-04-11 11:59:59
